EventTime;AspectName;Category;Message;FromValue;ToValue;Path;ObjectName;ObjectDescription;SourceName;UserAccount;Condition;SubCondition;NodeName;Component
 05-28-2021 14:00:55;;Services;Failed to collect 4 logs via collector OPC;;;;Basic History on node CS01-NO1;;{CA5BE0D6-314D-4610-8410-F37DF92A672D};;;;CS01-NO1;AdvHtHistorySrv
 05-28-2021 14:03:43;;Services;Failed to collect 4 logs via collector OPC;;;;Basic History on node CS02-NO1;;{1991DB09-A9F4-417B-B442-E4B3E8A83152};;;;CS02-NO1;AdvHtHistorySrv
 05-28-2021 14:05:55;;Services;Failed to collect 4 logs via collector OPC;;;;Basic History on node CS01-NO1;;{CA5BE0D6-314D-4610-8410-F37DF92A672D};;;;CS01-NO1;AdvHtHistorySrv
 05-28-2021 14:07:35;;System Simple Event;Controller_8   (0000) Status OK;;;;1;;172.16.120.161-0.5.1;;;;;
 05-28-2021 14:08:43;;Services;Failed to collect 4 logs via collector OPC;;;;Basic History on node CS02-NO1;;{1991DB09-A9F4-417B-B442-E4B3E8A83152};;;;CS02-NO1;AdvHtHistorySrv
 05-28-2021 14:09:22;;System Condition Event;Controller_6   (0000)  No communication BackupCPU;;;;1;;172.16.116.156-0.1;;HWError;HWError;;
 05-28-2021 14:09:26;;System Condition Event;Controller_6   (0000) Status OK;;;;1;;172.16.116.156-0.1;;HWError;HWError;;
 05-28-2021 14:09:28;;System Alarm for SoftAlarms;Primary Connection to Controller_6 Lost;;;;Controller_6;;{83282CA4-275B-455C-9C32-99F8EB0B8747};;Network Connection Error, Area 29;Primary Connection Down;;
 05-28-2021 14:10:56;;Services;Failed to collect 4 logs via collector OPC;;;;Basic History on node CS01-NO1;;{CA5BE0D6-314D-4610-8410-F37DF92A672D};;;;CS01-NO1;AdvHtHistorySrv
 05-28-2021 14:11:37;;System Simple Event;Controller_8   (0000)  IAC interval time latency (Normal);;;;1;;172.16.120.161-0.5.1;;;;;
 05-28-2021 14:12:19;;Network Messages;The action Nor2_800xa_20s104w_job_12117_1 has been started.;;;;Nor2_800xa_20s104w_job;;{CA8CD232-C645-456A-AA42-5DC3F56DC8ED};;;;IMS01-NO2;Scheduler
 05-28-2021 14:12:26;;Network Messages;The action Nor2_800xa_20s104w_job_12117_1 completed OK.;;;;Scheduler;Industrial IT Application Scheduler;{545FC42D-F13A-4137-B001-0185947FCBDB};;;;IMS01-NO2;Scheduler
 05-28-2021 14:13:43;;Services;Failed to collect 4 logs via collector OPC;;;;Basic History on node CS02-NO1;;{1991DB09-A9F4-417B-B442-E4B3E8A83152};;;;CS02-NO1;AdvHtHistorySrv
 05-28-2021 14:14:19;;AuditEvent_Security;Logover user from RGNOR\800xAInstaller to rgnor\readonly succeeded.;;;;;;{00000000-0000-0000-0000-000000000000};rgnor\readonly;;;BS01-NO1;Logover
 05-28-2021 14:15:56;;Services;Failed to collect 4 logs via collector OPC;;;;Basic History on node CS01-NO1;;{CA5BE0D6-314D-4610-8410-F37DF92A672D};;;;CS01-NO1;AdvHtHistorySrv
 05-28-2021 14:18:43;;Services;Failed to collect 4 logs via collector OPC;;;;Basic History on node CS02-NO1;;{1991DB09-A9F4-417B-B442-E4B3E8A83152};;;;CS02-NO1;AdvHtHistorySrv
 05-28-2021 14:19:41;;System Simple Event;Controller_8   (0000) Status OK;;;;1;;172.16.120.161-0.5.1;;;;;
 05-28-2021 14:20:56;;Services;Failed to collect 4 logs via collector OPC;;;;Basic History on node CS01-NO1;;{CA5BE0D6-314D-4610-8410-F37DF92A672D};;;;CS01-NO1;AdvHtHistorySrv
 05-28-2021 14:21:24;;System Condition Event;Controller_5   (0000) Status OK;;;;503;;172.16.116.155-0.11.503;;HWError;HWError;;
 05-28-2021 14:21:30;;System Condition Event;Controller_5   (0000) Overflow;;;;503;;172.16.116.155-0.11.503;;HWError;HWError;;
