EventTime;AspectName;Category;Message;FromValue;ToValue;Path;ObjectName;ObjectDescription;SourceName;UserAccount;Condition;SubCondition;NodeName;Component
 05-27-2021 22:00:06;;System Simple Event;Controller_7   (2001) Interval time in ordinary tasks increased  1.3%;;;;172.16.116.157-_SW1131Task;;172.16.116.157-_SW1131Task;;;;;
 05-27-2021 22:00:15;;System Simple Event;Controller_8   (0000) Status OK;;;;1;;172.16.120.161-0.5.1;;;;;
 05-27-2021 22:00:20;Control Module;AuditEvent_OperatorAction;Enable_CNT1 True -> False ;True;False;[Functional Structure]Root/Steroid/Axis_39/U39B02_00/EqM_Gazoldal_5_U_39B02_00;EqM_Gazoldal_5_U_39B02_00;;{D1785C8F-929D-4973-A870-A592D0F4DC9D};rgnor\GondaB;;;OW12-NO1;Audit Trail configuration
 05-27-2021 22:00:24;Control Module;AuditEvent_OperatorAction;HSICmd.Man0 False -> True ;False;True;[Control Structure]Root/NOR_I_CN/NOR1/Applications/Application_1/Control Modules/U_39B02_00/EqM_Urito_1_U_39B02_00/KSVG0261;KSVG0261;Keszulek urito;{51B31522-3736-4C30-A219-AA4C2293CDE4};rgnor\GondaB;;;OW12-NO1;Audit Trail configuration
 05-27-2021 22:00:27;Control Module;AuditEvent_OperatorAction;HSICmd.Man0 False -> True ;False;True;[Control Structure]Root/NOR_I_CN/NOR1/Applications/Application_1/Control Modules/U_39B02_00/EqM_Gazoldal_5_U_39B02_00/KSVG0289;KSVG0289;Legzo;{E9DB8330-2AC0-43D3-8326-89B9BF63CB03};rgnor\GondaB;;;OW12-NO1;Audit Trail configuration
 05-27-2021 22:00:32;Control Module;AuditEvent_OperatorAction;HSICmd.Man1 False -> True ;False;True;[Control Structure]Root/NOR_I_CN/NOR1/Applications/Application_1/Control Modules/U_39B02_00/EqM_Gazoldal_5_U_39B02_00/KSVG0279;KSVG0279;Ammonia kond. Legzo  szabadba;{99217E84-FEBE-47B9-9AB0-044A2BD0FD5D};rgnor\GondaB;;;OW12-NO1;Audit Trail configuration
 05-27-2021 22:00:35;Control Module;AuditEvent_OperatorAction;HSICmd.Man1 False -> True ;False;True;[Control Structure]Root/NOR_I_CN/NOR1/Applications/Application_1/Control Modules/U_39B02_00/EqM_Reflux_1_U_39B02_00/KSVG0274;KSVG0274;Para kondenzatum;{F2D67E99-F9E8-4E41-9F54-8F08DC521C2A};rgnor\GondaB;;;OW12-NO1;Audit Trail configuration
 05-27-2021 22:00:37;;Services;Failed to collect 4 logs via collector OPC;;;;Basic History on node CS01-NO1;;{CA5BE0D6-314D-4610-8410-F37DF92A672D};;;;CS01-NO1;AdvHtHistorySrv
 05-27-2021 22:00:38;Control Module;AuditEvent_OperatorAction;HSICmd.Man1 False -> True ;False;True;[Control Structure]Root/NOR_I_CN/NOR1/Applications/Application_1/Control Modules/U_39B02_00/EqM_Reflux_1_U_39B02_00/KSVG0273;KSVG0273;Paracso;{09CCF586-6D0C-4D92-A98C-BA9ACA58548C};rgnor\GondaB;;;OW12-NO1;Audit Trail configuration
 05-27-2021 22:00:56;;System Simple Event;Controller_7   (2002) Interval time in ordinary tasks decreased  1.5%;;;;172.16.116.157-_SW1131Task;;172.16.116.157-_SW1131Task;;;;;
