EventTime;AspectName;Category;Message;FromValue;ToValue;Path;ObjectName;ObjectDescription;SourceName;UserAccount;Condition;SubCondition;NodeName;Component;Class
 2021-05-31 22:01:38;;Services;Failed to collect 1 logs via collector OPC;;;;Basic History on CS01-UNI2;;{92530D91-0F50-4DFD-B3FD-00B04AC97A7D};;;;CS01-UNI2;AdvHtHistorySrv;
 2021-05-31 22:01:53;;AuditEvent_Security;Logover user from RGAX3\JUHASZA to RGAX3\readonly succeeded.;;;;;;{00000000-0000-0000-0000-000000000000};RGAX3\readonly;;;OW05-AX3;Logover;
 2021-05-31 22:02:37;;System Simple Event;Controller_3   (0000)  Internal bus fault;;;;0;;172.16.84.163-2.81.0;;;;;;9950
 2021-05-31 22:02:37;;System Simple Event;Controller_3   (0000) Status OK;;;;0;;172.16.84.163-2.81.0;;;;;;9950
 2021-05-31 22:03:03;;AuditEvent_Security;Logover user from RGAX3\readonly to rgax3\sorest succeeded.;;;;;;{00000000-0000-0000-0000-000000000000};RGAX3\SoresT;;;OW08-UNI2;Logover;
 2021-05-31 22:03:37;;AuditEvent_Security;Logover user from RGAX3\TothL to RGAX3\readonly succeeded.;;;;;;{00000000-0000-0000-0000-000000000000};RGAX3\readonly;;;OW02E-AX1;Logover;
 2021-05-31 22:03:45;;System Simple Event;CU9            (0000) Status OK;;;;27;;172.16.108.152-1.27;;;;;;9950
 2021-05-31 22:03:46;Control Module;AuditEvent_OperatorAction;HSICmd.Man0 False -> True ;False;True;[Control Structure]Root/RGUNI2_CN/RGUNI2_PR/Applications/Appl_10/Control Modules/U_52C40_00/E041_52C40/KSVG54061;KSVG54061;52C40.00 uritoszelep;{97AB77C6-042E-4052-9ADF-2EBA3F256892};RGAX3\SoresT;;;OW08-UNI2;Audit Trail configuration;
 2021-05-31 22:03:49;Control Module;AuditEvent_OperatorAction;HSICmd.Man0 False -> True ;False;True;[Control Structure]Root/RGUNI2_CN/RGUNI2_PR/Applications/Appl_10/Control Modules/U_52C40_00/E081_52C40/KS54044;KS54044;52C40.12 motor ki/be;{210E8DC0-7E58-4D6F-858F-AE9BB0BCC188};RGAX3\SoresT;;;OW08-UNI2;Audit Trail configuration;
 2021-05-31 22:04:47;;Services;Failed to collect 1 logs via collector OPC;;;;Basic History on CS02-UNI2;;{7D562315-DBE4-43F5-A4F8-8756AD576613};;;;CS02-UNI2;AdvHtHistorySrv;
 2021-05-31 22:06:38;;Services;Failed to collect 1 logs via collector OPC;;;;Basic History on CS01-UNI2;;{92530D91-0F50-4DFD-B3FD-00B04AC97A7D};;;;CS01-UNI2;AdvHtHistorySrv;
 2021-05-31 22:06:55;;AuditEvent_Security;Logover user from RGAX3\readonly to rgax3\juhasza succeeded.;;;;;;{00000000-0000-0000-0000-000000000000};RGAX3\JUHASZA;;;OW05-AX3;Logover;
 2021-05-31 22:07:10;Control Module;AuditEvent_OperatorAction;HSICmd.SPManValue 0.34 -> 0.32 ;0.34;0.32;[Control Structure]Root/RGAX3_CN/RGAX3_PR/Applications/Ellato_4/Control Modules/U_17C35_00/17C352\.00 EqM_Vakuum/PC35213;PC35213;17C352.00 Vakuum szab.kor;{DDDB54C4-DBEF-4829-BB99-69755DDD31DE};RGAX3\JUHASZA;;;OW05-AX3;Audit Trail configuration;
 2021-05-31 22:09:47;;Services;Failed to collect 1 logs via collector OPC;;;;Basic History on CS02-UNI2;;{7D562315-DBE4-43F5-A4F8-8756AD576613};;;;CS02-UNI2;AdvHtHistorySrv;
 2021-05-31 22:10:01;;AuditEvent_Security;Logover user from RGAX3\readonly to rgax3\tothl succeeded.;;;;;;{00000000-0000-0000-0000-000000000000};RGAX3\TothL;;;OW02E-AX1;Logover;
 2021-05-31 22:10:30;Control Module;AuditEvent_OperatorAction;HSICmd.Man0 False -> True ;False;True;[Control Structure]Root/RGAX1_CN/RGAX1_PR/Applications/Application_3/Control Modules/U_32B10_00/SZED GAZ22BB/KSVG11083/KSVG11083;KSVG11083;szedo vakuum beparlo II.;{CFAC1855-A7E9-4E05-A5CD-DDA1B72A7A71};RGAX3\TothL;;;OW02E-AX1;Audit Trail configuration;
 2021-05-31 22:10:38;Control Module;AuditEvent_OperatorAction;HSICmd.Man1 False -> True ;False;True;[Control Structure]Root/RGAX1_CN/RGAX1_PR/Applications/Application_6/Control Modules/T15/FOLYADEK02B/KSVG61563/KSVG61563;KSVG61563;T15 anyag be I-es csarnokbol;{3413045B-BB21-432B-BDE5-B4251348EEFD};RGAX3\TothL;;;OW02E-AX1;Audit Trail configuration;
